show_id,type,title,director,cast,country,release_year,rating,duration,genres
s2304,Movie,Goyenda Junior,Mainak Bhaumik,"Rwitobroto Mukherjee, Shantilal Mukherjee, Anusha Viswanathan",India,2019,ALL,118 min,"International, Suspense"
s2311,Movie,Goodachari,Sashi Kiran Tikka,"Adivi Sesh, Sobhita Dhulipala, Madhu Shalini",India,2018,18+,142 min,"International, Suspense"
s2337,Movie,Gleason,Clay Tweel,"Steve Gleason, Michel Varisco, Rivers Gleason, Scott Fujita, Drew Brees, Mike Mccready, Blair Casey, Eddie Vedder",United States,2016,R,111 min,"Documentary, Sports"
s2339,Movie,Girlz,Vishal Devrukhkar,"Ankita Lande, Ketaki Narayan, Anvita Phaltankar, Parth Bhalerao, Devika Daftardar",India,2019,13+,135 min,"Comedy, Drama"
s2350,Movie,Gimme Danger,Jim Jarmusch,"Iggy Pop, Ron Asheton, ScottAsheton, James Williamson, Steve Mackay, Mike Watt, Kathy Asheton, Danny Fields",United States,2016,R,109 min,"Documentary, Music Videos and Concerts, Special Interest"
s2360,Movie,Ghawre Bairey Aaj,Aparna Sen,"Anirban Bhattacharya, Jisshu U Sengupta, Tuhina Das",India,2019,16+,134 min,Drama
s2365,Movie,Get Duked!,Ninian Doff,"Eddie Izzard, Kate Dickie, James Cosmo, Samuel Bottomley, Viraj Juneja, Rian Gordon, Lewis Gribben",United Kingdom,2020,16+,87 min,"Adventure, Comedy"
s2372,Movie,Generation Aami,Mainak Bhaumik,"Sauraseni Maitra, Rwitobroto Mukherjee, Shantilal Mukherjee, Aparajita Auddy",India,2018,13+,119 min,"Arts, Entertainment, and Culture, Drama, International"
s2382,Movie,Gascoigne,Jane Preston,"Paul Gascoigne, Vinnie Jones, Gary Lineker, José Mourinho",United Kingdom,2015,16+,87 min,Documentary
s2392,Movie,Gangsta,"Adil El Arbi, Bilall Fallah","Dimitri 'Vegas' Thivaios, Paloma Aguilera Valdebenito, Eduardo Almeida, Ali B., Gene Bervoets, François Beukelaers, Saïd Boumazoughe, Aza Declercq",Belgium,2018,18+,125 min,"Action, Suspense"
s2425,Movie,French Biriyani,Pannaga Bharana,"Danish Sait, Disha Madan, Rangayana Raghu, Nagabhushana, Sindhu Murty, Mahantesh Hiremath, Sampath Kumar, Mohammed Ashraf, Kirthana Kumar, Michael Madhu, Pitobash, Nagesh Jaikumar, Prashanth, RJ Vikish, Chikkanna",India,2020,16+,117 min,"Action, Comedy"
s2511,Movie,Falcon Rising,Ernie Barbarash,"Michael Jai White, Neal McDonough, Laila Ali, Jimmy Navarro, Millie Ruperto, Masashi Odate, Hazuki Kato, Lateef Crowder",United States,2014,R,101 min,Action
s2512,Movie,Falaknuma Das,Vishwak Sen,"Vishwak Sen, Saloni Mishra, Harshita Gaur, Vivek Tony, Uttej",India,2019,18+,145 min,"Action, Drama, International"
s2523,Movie,F2 - Fun and Frustration,Anil Ravipudi,"Venkatesh, Varun Tej, Tamannaah, Mehreen Pirzada",India,2019,13+,148 min,"Comedy, International"
s2535,Movie,Everybody's Game,Beno Obano,"Maro Itoje, Beno Obano, Anthony Watson, Ellis Genge, Biyi Alo",United Kingdom,2020,16+,53 min,Documentary
s2539,Movie,ETs Among Us: UFO Witnesses and Whistleblowers,Cybela Clare,"JIM MARRS, PAUL HELLYER, CLIFFORD STONE, NICK POPE, DAVID JACOBS, WENDELLE C. STEVENS, MICHAEL SALLA, JACQUES VALLEE, RICHARD DOLAN, DAVID HATCHER CHILDRESS",United States,2016,13+,91 min,Special Interest
s2540,Movie,"ETs Among Us 2: Our Alien Origins, Antarctica, Mars and Beyond",Cybela Clare,"Linda Moulton Howe, Nick Pope, Richard Dolan, Robert Morningstar, Debbie Ziegelmeyer, Len Kasten",United States,2018,7+,55 min,Special Interest
s2554,Movie,Enai Noki Paayum Thota,Gautham Menon,"Dhanush, Megha Akash, Sasikumar",India,2019,16+,151 min,"Action, Suspense"
s2599,Movie,DSP DEV,Mandeep Benipal,"Dev Kharoud, Mehreen Pirzada, Manav Vij, Aman Dhaliwal, Girija Shankar, Shavinder Mahal, Nita Mohindra, Tarsem Paul",India,2019,13+,141 min,"Action, Drama, Suspense"
